Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Sun Apr 29 2012,3:30p,Denver Nuggets,88,Los Angeles Lakers,103,Box Score,,18997,
Sun Apr 29 2012,7:00p,Boston Celtics,74,Atlanta Hawks,83,Box Score,,19292,
Sun Apr 29 2012,9:30p,Los Angeles Clippers,99,Memphis Grizzlies,98,Box Score,,18119,
Mon Apr 30 2012,7:00p,New York Knicks,94,Miami Heat,104,Box Score,,19684,
Mon Apr 30 2012,7:30p,Orlando Magic,78,Indiana Pacers,93,Box Score,,18165,
Mon Apr 30 2012,9:30p,Dallas Mavericks,99,Oklahoma City Thunder,102,Box Score,,18203,
Tue May 1 2012,7:30p,Boston Celtics,87,Atlanta Hawks,80,Box Score,,19308,
Tue May 1 2012,8:00p,Philadelphia 76ers,109,Chicago Bulls,92,Box Score,,22067,
Tue May 1 2012,10:30p,Denver Nuggets,100,Los Angeles Lakers,104,Box Score,,18997,
Wed May 2 2012,7:00p,Utah Jazz,83,San Antonio Spurs,114,Box Score,,18581,
Wed May 2 2012,7:30p,Indiana Pacers,97,Orlando Magic,74,Box Score,,18846,
Wed May 2 2012,9:30p,Los Angeles Clippers,98,Memphis Grizzlies,105,Box Score,,18119,
Thu May 3 2012,7:00p,Miami Heat,87,New York Knicks,70,Box Score,,19763,
Thu May 3 2012,9:30p,Oklahoma City Thunder,95,Dallas Mavericks,79,Box Score,,20640,
Fri May 4 2012,7:30p,Atlanta Hawks,84,Boston Celtics,90,Box Score,OT,18624,
Fri May 4 2012,8:00p,Chicago Bulls,74,Philadelphia 76ers,79,Box Score,,20381,
Fri May 4 2012,10:30p,Los Angeles Lakers,84,Denver Nuggets,99,Box Score,,19155,
Sat May 5 2012,2:00p,Indiana Pacers,101,Orlando Magic,99,Box Score,OT,18846,
Sat May 5 2012,4:30p,Memphis Grizzlies,86,Los Angeles Clippers,87,Box Score,,19060,
Sat May 5 2012,7:30p,Oklahoma City Thunder,103,Dallas Mavericks,97,Box Score,,20533,
Sat May 5 2012,10:00p,San Antonio Spurs,102,Utah Jazz,90,Box Score,,19911,
Sun May 6 2012,1:00p,Chicago Bulls,82,Philadelphia 76ers,89,Box Score,,20412,
Sun May 6 2012,3:30p,Miami Heat,87,New York Knicks,89,Box Score,,19763,
Sun May 6 2012,7:00p,Atlanta Hawks,79,Boston Celtics,101,Box Score,,18624,
Sun May 6 2012,9:30p,Los Angeles Lakers,92,Denver Nuggets,88,Box Score,,19155,
Mon May 7 2012,8:00p,San Antonio Spurs,87,Utah Jazz,81,Box Score,,19911,
Mon May 7 2012,10:30p,Memphis Grizzlies,97,Los Angeles Clippers,101,Box Score,OT,19167,
Tue May 8 2012,7:00p,Orlando Magic,87,Indiana Pacers,105,Box Score,,18165,
Tue May 8 2012,8:00p,Boston Celtics,86,Atlanta Hawks,87,Box Score,,19319,
Tue May 8 2012,9:30p,Philadelphia 76ers,69,Chicago Bulls,77,Box Score,,22093,
Tue May 8 2012,10:30p,Denver Nuggets,102,Los Angeles Lakers,99,Box Score,,18997,
Wed May 9 2012,7:00p,New York Knicks,94,Miami Heat,106,Box Score,,19754,
Wed May 9 2012,9:30p,Los Angeles Clippers,80,Memphis Grizzlies,92,Box Score,,18119,
Thu May 10 2012,7:00p,Chicago Bulls,78,Philadelphia 76ers,79,Box Score,,20362,
Thu May 10 2012,8:00p,Atlanta Hawks,80,Boston Celtics,83,Box Score,,18624,
Thu May 10 2012,10:30p,Los Angeles Lakers,96,Denver Nuggets,113,Box Score,,19770,
Fri May 11 2012,9:00p,Memphis Grizzlies,90,Los Angeles Clippers,88,Box Score,,19060,
Sat May 12 2012,8:00p,Philadelphia 76ers,91,Boston Celtics,92,Box Score,,18624,
Sat May 12 2012,10:30p,Denver Nuggets,87,Los Angeles Lakers,96,Box Score,,18997,
Sun May 13 2012,1:00p,Los Angeles Clippers,82,Memphis Grizzlies,72,Box Score,,18119,
Sun May 13 2012,3:30p,Indiana Pacers,86,Miami Heat,95,Box Score,,19600,
Mon May 14 2012,7:00p,Philadelphia 76ers,82,Boston Celtics,81,Box Score,,18624,
Mon May 14 2012,9:30p,Los Angeles Lakers,90,Oklahoma City Thunder,119,Box Score,,18203,
Tue May 15 2012,7:00p,Indiana Pacers,78,Miami Heat,75,Box Score,,19828,
Tue May 15 2012,9:30p,Los Angeles Clippers,92,San Antonio Spurs,108,Box Score,,18581,
Wed May 16 2012,7:00p,Boston Celtics,107,Philadelphia 76ers,91,Box Score,,20351,
Wed May 16 2012,9:30p,Los Angeles Lakers,75,Oklahoma City Thunder,77,Box Score,,18203,
Thu May 17 2012,7:00p,Miami Heat,75,Indiana Pacers,94,Box Score,,18165,
Thu May 17 2012,9:30p,Los Angeles Clippers,88,San Antonio Spurs,105,Box Score,,18581,
Fri May 18 2012,8:00p,Boston Celtics,83,Philadelphia 76ers,92,Box Score,,20411,
Fri May 18 2012,10:30p,Oklahoma City Thunder,96,Los Angeles Lakers,99,Box Score,,18997,
Sat May 19 2012,3:30p,San Antonio Spurs,96,Los Angeles Clippers,86,Box Score,,19060,
Sat May 19 2012,10:30p,Oklahoma City Thunder,103,Los Angeles Lakers,100,Box Score,,18997,
Sun May 20 2012,3:30p,Miami Heat,101,Indiana Pacers,93,Box Score,,18165,
Sun May 20 2012,10:30p,San Antonio Spurs,102,Los Angeles Clippers,99,Box Score,,19060,
Mon May 21 2012,7:00p,Philadelphia 76ers,85,Boston Celtics,101,Box Score,,18624,
Mon May 21 2012,9:30p,Los Angeles Lakers,90,Oklahoma City Thunder,106,Box Score,,18203,
Tue May 22 2012,8:00p,Indiana Pacers,83,Miami Heat,115,Box Score,,20097,
Wed May 23 2012,8:00p,Boston Celtics,75,Philadelphia 76ers,82,Box Score,,20403,
Thu May 24 2012,8:00p,Miami Heat,105,Indiana Pacers,93,Box Score,,18165,
Sat May 26 2012,8:00p,Philadelphia 76ers,75,Boston Celtics,85,Box Score,,18624,
Sun May 27 2012,8:30p,Oklahoma City Thunder,98,San Antonio Spurs,101,Box Score,,18581,
Mon May 28 2012,8:30p,Boston Celtics,79,Miami Heat,93,Box Score,,19912,
Tue May 29 2012,9:00p,Oklahoma City Thunder,111,San Antonio Spurs,120,Box Score,,18581,
Wed May 30 2012,8:30p,Boston Celtics,111,Miami Heat,115,Box Score,OT,19973,
Thu May 31 2012,9:00p,San Antonio Spurs,82,Oklahoma City Thunder,102,Box Score,,18203,
Fri Jun 1 2012,8:30p,Miami Heat,91,Boston Celtics,101,Box Score,,18624,
Sat Jun 2 2012,8:30p,San Antonio Spurs,103,Oklahoma City Thunder,109,Box Score,,18203,
Sun Jun 3 2012,8:30p,Miami Heat,91,Boston Celtics,93,Box Score,OT,18624,
Mon Jun 4 2012,9:00p,Oklahoma City Thunder,108,San Antonio Spurs,103,Box Score,,18581,
Tue Jun 5 2012,8:30p,Boston Celtics,94,Miami Heat,90,Box Score,,20021,
Wed Jun 6 2012,9:00p,San Antonio Spurs,99,Oklahoma City Thunder,107,Box Score,,18203,
Thu Jun 7 2012,8:30p,Miami Heat,98,Boston Celtics,79,Box Score,,18624,
Sat Jun 9 2012,8:30p,Boston Celtics,88,Miami Heat,101,Box Score,,20114,
Tue Jun 12 2012,9:00p,Miami Heat,94,Oklahoma City Thunder,105,Box Score,,18203,
Thu Jun 14 2012,9:00p,Miami Heat,100,Oklahoma City Thunder,96,Box Score,,18203,
Sun Jun 17 2012,8:00p,Oklahoma City Thunder,85,Miami Heat,91,Box Score,,20003,
Tue Jun 19 2012,9:00p,Oklahoma City Thunder,98,Miami Heat,104,Box Score,,20003,
Thu Jun 21 2012,9:00p,Oklahoma City Thunder,106,Miami Heat,121,Box Score,,20003,
Tue Oct 30 2012,7:00p,Washington Wizards,84,Cleveland Cavaliers,94,Box Score,,20562,
Tue Oct 30 2012,8:00p,Boston Celtics,107,Miami Heat,120,Box Score,,20296,
Tue Oct 30 2012,10:30p,Dallas Mavericks,99,Los Angeles Lakers,91,Box Score,,18997,
Wed Oct 31 2012,7:00p,Indiana Pacers,90,Toronto Raptors,88,Box Score,,19800,
Wed Oct 31 2012,7:00p,Denver Nuggets,75,Philadelphia 76ers,84,Box Score,,19101,
Wed Oct 31 2012,7:30p,Houston Rockets,105,Detroit Pistons,96,Box Score,,16646,
Wed Oct 31 2012,8:00p,San Antonio Spurs,99,New Orleans Hornets,95,Box Score,,15358,
Wed Oct 31 2012,8:00p,Sacramento Kings,87,Chicago Bulls,93,Box Score,,21313,
Wed Oct 31 2012,9:00p,Dallas Mavericks,94,Utah Jazz,113,Box Score,,17634,
Wed Oct 31 2012,10:00p,Golden State Warriors,87,Phoenix Suns,85,Box Score,,15678,
Wed Oct 31 2012,10:30p,Memphis Grizzlies,92,Los Angeles Clippers,101,Box Score,,19060,
Wed Oct 31 2012,10:30p,Los Angeles Lakers,106,Portland Trail Blazers,116,Box Score,,20401,
Thu Nov 1 2012,9:30p,Oklahoma City Thunder,84,San Antonio Spurs,86,Box Score,,18581,
Fri Nov 2 2012,7:00p,Indiana Pacers,89,Charlotte Bobcats,90,Box Score,,19124,
Fri Nov 2 2012,7:00p,Denver Nuggets,89,Orlando Magic,102,Box Score,,18846,
Fri Nov 2 2012,7:30p,Houston Rockets,109,Atlanta Hawks,102,Box Score,,18238,
Fri Nov 2 2012,7:30p,Milwaukee Bucks,99,Boston Celtics,88,Box Score,,18624,
Fri Nov 2 2012,7:30p,Chicago Bulls,115,Cleveland Cavaliers,86,Box Score,,20562,
Fri Nov 2 2012,8:00p,Sacramento Kings,80,Minnesota Timberwolves,92,Box Score,,19356,
Fri Nov 2 2012,8:00p,Utah Jazz,86,New Orleans Hornets,88,Box Score,,14147,
Fri Nov 2 2012,8:00p,Miami Heat,84,New York Knicks,104,Box Score,,19033,
Fri Nov 2 2012,8:00p,Portland Trail Blazers,92,Oklahoma City Thunder,106,Box Score,,18203,
Fri Nov 2 2012,10:00p,Detroit Pistons,89,Phoenix Suns,92,Box Score,,15107,
Fri Nov 2 2012,10:30p,Memphis Grizzlies,104,Golden State Warriors,94,Box Score,,19596,
Fri Nov 2 2012,10:30p,Los Angeles Clippers,105,Los Angeles Lakers,95,Box Score,,18997,
Sat Nov 3 2012,7:00p,Sacramento Kings,98,Indiana Pacers,106,Box Score,2OT,18165,
Sat Nov 3 2012,7:00p,Boston Celtics,89,Washington Wizards,86,Box Score,,20308,
Sat Nov 3 2012,7:30p,Toronto Raptors,100,Brooklyn Nets,107,Box Score,,17732,
Sat Nov 3 2012,7:30p,Denver Nuggets,116,Miami Heat,119,Box Score,,20104,
Sat Nov 3 2012,8:00p,New Orleans Hornets,89,Chicago Bulls,82,Box Score,,21758,
Sat Nov 3 2012,8:00p,Portland Trail Blazers,95,Houston Rockets,85,Box Score,OT,18140,
Sat Nov 3 2012,8:30p,Charlotte Bobcats,99,Dallas Mavericks,126,Box Score,,19490,
Sat Nov 3 2012,8:30p,Cleveland Cavaliers,102,Milwaukee Bucks,105,Box Score,,17086,
Sat Nov 3 2012,8:30p,Utah Jazz,100,San Antonio Spurs,110,Box Score,,18581,
Sat Nov 3 2012,10:30p,Golden State Warriors,114,Los Angeles Clippers,110,Box Score,,19060,
Sun Nov 4 2012,12:00p,Philadelphia 76ers,84,New York Knicks,100,Box Score,,19033,
Sun Nov 4 2012,6:00p,Phoenix Suns,94,Orlando Magic,115,Box Score,,17022,
Sun Nov 4 2012,6:00p,Minnesota Timberwolves,86,Toronto Raptors,105,Box Score,,16754,
Sun Nov 4 2012,7:00p,Atlanta Hawks,104,Oklahoma City Thunder,95,Box Score,,18203,
Sun Nov 4 2012,9:30p,Detroit Pistons,79,Los Angeles Lakers,108,Box Score,,18997,
Mon Nov 5 2012,7:00p,New York Knicks,110,Philadelphia 76ers,88,Box Score,,15783,
Mon Nov 5 2012,7:30p,Minnesota Timberwolves,107,Brooklyn Nets,96,Box Score,,14017,
Mon Nov 5 2012,7:30p,Phoenix Suns,99,Miami Heat,124,Box Score,,19600,
Mon Nov 5 2012,8:00p,Utah Jazz,94,Memphis Grizzlies,103,Box Score,,17401,
Mon Nov 5 2012,8:30p,Portland Trail Blazers,91,Dallas Mavericks,114,Box Score,,19521,
Mon Nov 5 2012,8:30p,Indiana Pacers,79,San Antonio Spurs,101,Box Score,,17158,
Mon Nov 5 2012,10:00p,Golden State Warriors,92,Sacramento Kings,94,Box Score,,17317,
Mon Nov 5 2012,10:30p,Cleveland Cavaliers,108,Los Angeles Clippers,101,Box Score,,19060,
Tue Nov 6 2012,8:00p,Orlando Magic,93,Chicago Bulls,99,Box Score,,21216,
Tue Nov 6 2012,8:00p,Toronto Raptors,88,Oklahoma City Thunder,108,Box Score,,18203,
Tue Nov 6 2012,9:00p,Detroit Pistons,97,Denver Nuggets,109,Box Score,,19155,
Wed Nov 7 2012,7:00p,Phoenix Suns,117,Charlotte Bobcats,110,Box Score,,13905,
Wed Nov 7 2012,7:30p,Indiana Pacers,86,Atlanta Hawks,89,Box Score,,10684,
Wed Nov 7 2012,7:30p,Washington Wizards,94,Boston Celtics,100,Box Score,OT,18624,
Wed Nov 7 2012,7:30p,Brooklyn Nets,73,Miami Heat,103,Box Score,,19627,
Wed Nov 7 2012,8:00p,Denver Nuggets,93,Houston Rockets,87,Box Score,,13372,
Wed Nov 7 2012,8:00p,Memphis Grizzlies,108,Milwaukee Bucks,90,Box Score,,11465,
Wed Nov 7 2012,8:00p,Orlando Magic,75,Minnesota Timberwolves,90,Box Score,,17121,
Wed Nov 7 2012,8:00p,Philadelphia 76ers,77,New Orleans Hornets,62,Box Score,,12988,
Wed Nov 7 2012,8:30p,Toronto Raptors,104,Dallas Mavericks,109,Box Score,,19763,
Wed Nov 7 2012,9:00p,Los Angeles Lakers,86,Utah Jazz,95,Box Score,,19911,
Wed Nov 7 2012,10:00p,Detroit Pistons,103,Sacramento Kings,105,Box Score,,10185,
Wed Nov 7 2012,10:30p,Cleveland Cavaliers,96,Golden State Warriors,106,Box Score,,18124,
Wed Nov 7 2012,10:30p,San Antonio Spurs,84,Los Angeles Clippers,106,Box Score,,19060,
Thu Nov 8 2012,8:00p,Oklahoma City Thunder,97,Chicago Bulls,91,Box Score,,21737,
Thu Nov 8 2012,10:30p,Los Angeles Clippers,103,Portland Trail Blazers,90,Box Score,,20425,
Fri Nov 9 2012,7:00p,Brooklyn Nets,107,Orlando Magic,68,Box Score,,17532,
Fri Nov 9 2012,7:00p,Milwaukee Bucks,101,Washington Wizards,91,Box Score,,14531,
Fri Nov 9 2012,7:30p,Miami Heat,95,Atlanta Hawks,89,Box Score,,16785,
Fri Nov 9 2012,7:30p,Philadelphia 76ers,106,Boston Celtics,100,Box Score,,18624,
Fri Nov 9 2012,7:30p,Dallas Mavericks,94,New York Knicks,104,Box Score,,19033,
Fri Nov 9 2012,8:00p,Houston Rockets,85,Memphis Grizzlies,93,Box Score,,16087,
Fri Nov 9 2012,8:00p,Indiana Pacers,94,Minnesota Timberwolves,96,Box Score,,18222,
Fri Nov 9 2012,8:00p,Charlotte Bobcats,99,New Orleans Hornets,107,Box Score,,12668,
Fri Nov 9 2012,8:00p,Detroit Pistons,94,Oklahoma City Thunder,105,Box Score,,18203,
Fri Nov 9 2012,9:00p,Cleveland Cavaliers,105,Phoenix Suns,107,Box Score,,15236,
Fri Nov 9 2012,10:00p,San Antonio Spurs,97,Sacramento Kings,86,Box Score,,13505,
Fri Nov 9 2012,10:30p,Utah Jazz,84,Denver Nuggets,104,Box Score,,15523,
Fri Nov 9 2012,10:30p,Golden State Warriors,77,Los Angeles Lakers,101,Box Score,,18997,
Sat Nov 10 2012,7:00p,Washington Wizards,85,Indiana Pacers,89,Box Score,,12036,
Sat Nov 10 2012,7:00p,Philadelphia 76ers,93,Toronto Raptors,83,Box Score,,19800,
Sat Nov 10 2012,7:30p,Dallas Mavericks,97,Charlotte Bobcats,101,Box Score,OT,15763,
Sat Nov 10 2012,8:00p,Minnesota Timberwolves,80,Chicago Bulls,87,Box Score,,21974,
Sat Nov 10 2012,8:00p,Detroit Pistons,82,Houston Rockets,96,Box Score,,15037,
Sat Nov 10 2012,8:30p,Boston Celtics,96,Milwaukee Bucks,92,Box Score,,14589,
Sat Nov 10 2012,9:00p,Phoenix Suns,81,Utah Jazz,94,Box Score,,19100,
Sat Nov 10 2012,10:00p,San Antonio Spurs,112,Portland Trail Blazers,109,Box Score,,20447,
Sat Nov 10 2012,10:30p,Denver Nuggets,107,Golden State Warriors,101,Box Score,2OT,19596,
Sun Nov 11 2012,3:00p,Orlando Magic,74,Brooklyn Nets,82,Box Score,,16523,
Sun Nov 11 2012,3:30p,Atlanta Hawks,76,Los Angeles Clippers,89,Box Score,,19060,
Sun Nov 11 2012,6:00p,Miami Heat,86,Memphis Grizzlies,104,Box Score,,18119,
Sun Nov 11 2012,7:00p,Cleveland Cavaliers,91,Oklahoma City Thunder,106,Box Score,,18203,
Sun Nov 11 2012,9:30p,Sacramento Kings,90,Los Angeles Lakers,103,Box Score,,18997,
Mon Nov 12 2012,7:00p,Milwaukee Bucks,105,Philadelphia 76ers,96,Box Score,,15086,
Mon Nov 12 2012,7:00p,Utah Jazz,140,Toronto Raptors,133,Box Score,3OT,18230,
Mon Nov 12 2012,7:30p,Oklahoma City Thunder,92,Detroit Pistons,90,Box Score,,12784,
Mon Nov 12 2012,8:00p,Boston Celtics,101,Chicago Bulls,95,Box Score,,21712,
Mon Nov 12 2012,8:00p,Miami Heat,113,Houston Rockets,110,Box Score,,18041,
Mon Nov 12 2012,8:30p,Minnesota Timberwolves,90,Dallas Mavericks,82,Box Score,,19322,
Mon Nov 12 2012,9:00p,Denver Nuggets,100,Phoenix Suns,110,Box Score,,14060,
Mon Nov 12 2012,10:00p,Atlanta Hawks,95,Portland Trail Blazers,87,Box Score,,19095,
Tue Nov 13 2012,7:00p,Washington Wizards,76,Charlotte Bobcats,92,Box Score,,11139,
Tue Nov 13 2012,7:00p,Toronto Raptors,74,Indiana Pacers,72,Box Score,,11947,
Tue Nov 13 2012,7:00p,New York Knicks,99,Orlando Magic,89,Box Score,,18846,
Tue Nov 13 2012,7:30p,Cleveland Cavaliers,101,Brooklyn Nets,114,Box Score,,17032,
Tue Nov 13 2012,10:00p,Portland Trail Blazers,103,Sacramento Kings,86,Box Score,,10153,
Tue Nov 13 2012,10:30p,San Antonio Spurs,84,Los Angeles Lakers,82,Box Score,,18997,
Wed Nov 14 2012,7:00p,Detroit Pistons,94,Philadelphia 76ers,76,Box Score,,11879,
Wed Nov 14 2012,7:30p,Utah Jazz,93,Boston Celtics,98,Box Score,,18624,
Wed Nov 14 2012,8:00p,New Orleans Hornets,96,Houston Rockets,100,Box Score,,14535,
Wed Nov 14 2012,8:00p,Indiana Pacers,85,Milwaukee Bucks,99,Box Score,,11573,
Wed Nov 14 2012,8:00p,Charlotte Bobcats,89,Minnesota Timberwolves,87,Box Score,,13272,
Wed Nov 14 2012,8:00p,Memphis Grizzlies,107,Oklahoma City Thunder,97,Box Score,,18203,
Wed Nov 14 2012,8:30p,Washington Wizards,101,Dallas Mavericks,107,Box Score,,19560,
Wed Nov 14 2012,9:00p,Chicago Bulls,112,Phoenix Suns,106,Box Score,OT,15305,
Wed Nov 14 2012,10:30p,Atlanta Hawks,88,Golden State Warriors,92,Box Score,,18107,
Wed Nov 14 2012,10:30p,Miami Heat,100,Los Angeles Clippers,107,Box Score,,19146,
Thu Nov 15 2012,8:00p,Boston Celtics,97,Brooklyn Nets,102,Box Score,,17732,
Thu Nov 15 2012,8:30p,New York Knicks,104,San Antonio Spurs,100,Box Score,,18581,
Thu Nov 15 2012,10:30p,Miami Heat,98,Denver Nuggets,93,Box Score,,19155,
Fri Nov 16 2012,7:00p,Dallas Mavericks,83,Indiana Pacers,103,Box Score,,15110,
Fri Nov 16 2012,7:00p,Utah Jazz,93,Philadelphia 76ers,99,Box Score,,15851,
Fri Nov 16 2012,7:30p,Orlando Magic,110,Detroit Pistons,106,Box Score,,11594,
Fri Nov 16 2012,8:00p,Golden State Warriors,106,Minnesota Timberwolves,98,Box Score,,16013,
Fri Nov 16 2012,8:00p,Oklahoma City Thunder,110,New Orleans Hornets,95,Box Score,,15458,
Fri Nov 16 2012,9:30p,New York Knicks,95,Memphis Grizzlies,105,Box Score,,17516,
Fri Nov 16 2012,10:00p,Houston Rockets,117,Portland Trail Blazers,119,Box Score,OT,20382,
Fri Nov 16 2012,10:00p,Atlanta Hawks,112,Sacramento Kings,96,Box Score,,11814,
Fri Nov 16 2012,10:30p,Phoenix Suns,102,Los Angeles Lakers,114,Box Score,,18997,
Sat Nov 17 2012,12:30p,Toronto Raptors,89,Boston Celtics,107,Box Score,,18624,
Sat Nov 17 2012,7:00p,Utah Jazz,83,Washington Wizards,76,Box Score,,16210,
Sat Nov 17 2012,7:30p,Memphis Grizzlies,94,Charlotte Bobcats,87,Box Score,,16541,
Sat Nov 17 2012,7:30p,Dallas Mavericks,103,Cleveland Cavaliers,95,Box Score,,18633,
Sat Nov 17 2012,8:30p,New Orleans Hornets,113,Milwaukee Bucks,117,Box Score,,14731,
Sat Nov 17 2012,8:30p,Denver Nuggets,100,San Antonio Spurs,126,Box Score,,18581,
Sat Nov 17 2012,9:00p,Chicago Bulls,80,Los Angeles Clippers,101,Box Score,,19060,
Sat Nov 17 2012,9:00p,Miami Heat,97,Phoenix Suns,88,Box Score,,16840,
Sun Nov 18 2012,12:00p,Indiana Pacers,76,New York Knicks,88,Box Score,,19033,
Sun Nov 18 2012,1:00p,Orlando Magic,86,Toronto Raptors,97,Box Score,,18702,
Sun Nov 18 2012,6:00p,Cleveland Cavaliers,79,Philadelphia 76ers,86,Box Score,,15021,
Sun Nov 18 2012,6:00p,Brooklyn Nets,99,Sacramento Kings,90,Box Score,,11965,
Sun Nov 18 2012,7:00p,Golden State Warriors,109,Oklahoma City Thunder,119,Box Score,,18203,
Sun Nov 18 2012,7:30p,Boston Celtics,83,Detroit Pistons,103,Box Score,,12214,
Sun Nov 18 2012,9:00p,Chicago Bulls,94,Portland Trail Blazers,102,Box Score,,20242,
Sun Nov 18 2012,9:30p,Houston Rockets,108,Los Angeles Lakers,119,Box Score,,18997,
Mon Nov 19 2012,7:00p,Milwaukee Bucks,98,Charlotte Bobcats,102,Box Score,,11248,
Mon Nov 19 2012,7:00p,Indiana Pacers,96,Washington Wizards,89,Box Score,,14426,
Mon Nov 19 2012,7:30p,Orlando Magic,72,Atlanta Hawks,81,Box Score,,15066,
Mon Nov 19 2012,8:00p,Denver Nuggets,97,Memphis Grizzlies,92,Box Score,,15111,
Mon Nov 19 2012,8:30p,Golden State Warriors,105,Dallas Mavericks,101,Box Score,OT,20034,
Mon Nov 19 2012,8:30p,Los Angeles Clippers,92,San Antonio Spurs,87,Box Score,,17920,
Mon Nov 19 2012,9:00p,Houston Rockets,91,Utah Jazz,102,Box Score,,19197,
Tue Nov 20 2012,7:00p,Toronto Raptors,98,Philadelphia 76ers,106,Box Score,,13965,
Tue Nov 20 2012,8:00p,New York Knicks,102,New Orleans Hornets,80,Box Score,,13705,
Tue Nov 20 2012,10:30p,Brooklyn Nets,90,Los Angeles Lakers,95,Box Score,,18997,
Wed Nov 21 2012,7:00p,Toronto Raptors,97,Charlotte Bobcats,98,Box Score,,15240,
Wed Nov 21 2012,7:00p,Philadelphia 76ers,83,Cleveland Cavaliers,92,Box Score,,16743,
Wed Nov 21 2012,7:00p,New Orleans Hornets,107,Indiana Pacers,115,Box Score,OT,12633,
Wed Nov 21 2012,7:00p,Detroit Pistons,74,Orlando Magic,90,Box Score,,17199,
Wed Nov 21 2012,7:30p,Washington Wizards,100,Atlanta Hawks,101,Box Score,OT,11338,
Wed Nov 21 2012,7:30p,San Antonio Spurs,112,Boston Celtics,100,Box Score,,18624,
Wed Nov 21 2012,7:30p,Milwaukee Bucks,106,Miami Heat,113,Box Score,OT,19971,
Wed Nov 21 2012,7:30p,Los Angeles Clippers,111,Oklahoma City Thunder,117,Box Score,OT,18203,
Wed Nov 21 2012,8:00p,Chicago Bulls,89,Houston Rockets,93,Box Score,,15950,
Wed Nov 21 2012,8:00p,Denver Nuggets,101,Minnesota Timberwolves,94,Box Score,,16879,
Wed Nov 21 2012,8:30p,New York Knicks,111,Dallas Mavericks,114,Box Score,,20157,
Wed Nov 21 2012,9:00p,Portland Trail Blazers,87,Phoenix Suns,114,Box Score,,14263,
Wed Nov 21 2012,10:00p,Los Angeles Lakers,97,Sacramento Kings,113,Box Score,,15249,
Wed Nov 21 2012,10:30p,Brooklyn Nets,93,Golden State Warriors,102,Box Score,,18374,
Fri Nov 23 2012,7:00p,Atlanta Hawks,101,Charlotte Bobcats,91,Box Score,,17868,
Fri Nov 23 2012,7:00p,Cleveland Cavaliers,104,Orlando Magic,108,Box Score,,17334,
Fri Nov 23 2012,7:30p,Oklahoma City Thunder,100,Boston Celtics,108,Box Score,,18624,
Fri Nov 23 2012,7:30p,Los Angeles Clippers,76,Brooklyn Nets,86,Box Score,,17732,
Fri Nov 23 2012,7:30p,Toronto Raptors,90,Detroit Pistons,91,Box Score,,12778,
Fri Nov 23 2012,8:00p,New York Knicks,103,Houston Rockets,131,Box Score,,18038,
Fri Nov 23 2012,8:00p,San Antonio Spurs,104,Indiana Pacers,97,Box Score,,17082,
Fri Nov 23 2012,8:00p,Los Angeles Lakers,98,Memphis Grizzlies,106,Box Score,,18119,
Fri Nov 23 2012,9:00p,Golden State Warriors,91,Denver Nuggets,102,Box Score,,18523,
Fri Nov 23 2012,9:00p,New Orleans Hornets,108,Phoenix Suns,111,Box Score,OT,14020,
Fri Nov 23 2012,9:00p,Sacramento Kings,102,Utah Jazz,104,Box Score,,18000,
Fri Nov 23 2012,10:00p,Minnesota Timberwolves,95,Portland Trail Blazers,103,Box Score,,20555,
Sat Nov 24 2012,7:00p,Los Angeles Clippers,93,Atlanta Hawks,104,Box Score,,16024,
Sat Nov 24 2012,7:00p,Oklahoma City Thunder,116,Philadelphia 76ers,109,Box Score,OT,19611,
Sat Nov 24 2012,7:00p,Charlotte Bobcats,108,Washington Wizards,106,Box Score,2OT,13077,
Sat Nov 24 2012,7:30p,Cleveland Cavaliers,108,Miami Heat,110,Box Score,,20064,
Sat Nov 24 2012,8:30p,Los Angeles Lakers,115,Dallas Mavericks,89,Box Score,,20423,
Sat Nov 24 2012,9:00p,Chicago Bulls,93,Milwaukee Bucks,86,Box Score,,14812,
Sat Nov 24 2012,10:00p,Utah Jazz,97,Sacramento Kings,108,Box Score,,12239,
Sat Nov 24 2012,10:30p,Minnesota Timberwolves,85,Golden State Warriors,96,Box Score,,19084,
Sun Nov 25 2012,1:00p,Detroit Pistons,100,New York Knicks,121,Box Score,,19033,
Sun Nov 25 2012,1:00p,San Antonio Spurs,111,Toronto Raptors,106,Box Score,2OT,19800,
Sun Nov 25 2012,3:00p,Portland Trail Blazers,85,Brooklyn Nets,98,Box Score,,16542,
Sun Nov 25 2012,6:00p,Boston Celtics,116,Orlando Magic,110,Box Score,OT,17037,
Sun Nov 25 2012,6:00p,Phoenix Suns,101,Philadelphia 76ers,104,Box Score,,14518,
Sun Nov 25 2012,8:00p,New Orleans Hornets,84,Denver Nuggets,102,Box Score,,15402,
Mon Nov 26 2012,7:00p,New York Knicks,89,Brooklyn Nets,96,Box Score,OT,17732,
Mon Nov 26 2012,7:00p,San Antonio Spurs,118,Washington Wizards,92,Box Score,,13879,
Mon Nov 26 2012,7:30p,Portland Trail Blazers,101,Detroit Pistons,108,Box Score,,10212,
Mon Nov 26 2012,8:00p,Milwaukee Bucks,93,Chicago Bulls,92,Box Score,,21485,
Mon Nov 26 2012,8:00p,Cleveland Cavaliers,78,Memphis Grizzlies,84,Box Score,,13485,
